No of words in file is --> 387 
 the  ---> 24 
 her  ---> 14 
 she  ---> 11 
 and  ---> 10 
 to  ---> 9 
 for  ---> 6 
 of  ---> 6 
 did  ---> 5 
 that  ---> 5 
 enobarbus:  ---> 5 
 his  ---> 4 
 her,  ---> 4 
 they  ---> 4 
 made  ---> 4 
 which  ---> 4 
 a  ---> 4 
 he  ---> 3 
 th'  ---> 3 
 agrippa:  ---> 3 
 in  ---> 3 
 with  ---> 3 
 on  ---> 3 
 like  ---> 3 
 antony  ---> 2 
 but  ---> 2 
 antony,  ---> 2 
 upon  ---> 2 
 i'  ---> 2 
 rare  ---> 2 
 what  ---> 2 
 where  ---> 2 
 it  ---> 2 
 their  ---> 2 
 were  ---> 2 
 so  ---> 2 
 barge  ---> 2 
 will  ---> 2 
 i  ---> 2 
 riggish.  ---> 1 
 is  ---> 1 
 when  ---> 1 
 bless  ---> 1 
 priests  ---> 1 
 holy  ---> 1 
 themselves  ---> 1 
 become  ---> 1 
 things  ---> 1 
 vilest  ---> 1 
 satisfies;  ---> 1 
 most  ---> 1 
 hungry  ---> 1 
 makes  ---> 1 
 feed,  ---> 1 
 appetites  ---> 1 
 cloy  ---> 1 
 women  ---> 1 
 other  ---> 1 
 variety.  ---> 1 
 infinite  ---> 1 
 stale  ---> 1 
 custom  ---> 1 
 nor  ---> 1 
 wither  ---> 1 
 cannot  ---> 1 
 age  ---> 1 
 not:  ---> 1 
 never;  ---> 1 
 utterly.  ---> 1 
 leave  ---> 1 
 must  ---> 1 
 now  ---> 1 
 maecenas:  ---> 1 
 forth.  ---> 1 
 breathe  ---> 1 
 pow'r  ---> 1 
 breathless,  ---> 1 
 and,  ---> 1 
 perfection,  ---> 1 
 defect  ---> 1 
 make  ---> 1 
 panted,  ---> 1 
 spoke,  ---> 1 
 breath,  ---> 1 
 lost  ---> 1 
 having  ---> 1 
 street;  ---> 1 
 public  ---> 1 
 through  ---> 1 
 paces  ---> 1 
 forty  ---> 1 
 hop  ---> 1 
 once  ---> 1 
 saw  ---> 1 
 cropped.  ---> 1 
 plowed  ---> 1 
 bed;  ---> 1 
 sword  ---> 1 
 lay  ---> 1 
 caesar  ---> 1 
 great  ---> 1 
 wench!  ---> 1 
 royal  ---> 1 
 only.  ---> 1 
 eat  ---> 1 
 eyes  ---> 1 
 heart  ---> 1 
 pays  ---> 1 
 ordinary,  ---> 1 
 feast,  ---> 1 
 goes  ---> 1 
 o'er,  ---> 1 
 times  ---> 1 
 ten  ---> 1 
 barbered  ---> 1 
 being  ---> 1 
 speak,  ---> 1 
 heard  ---> 1 
 woman  ---> 1 
 "no"  ---> 1 
 word  ---> 1 
 ne'er  ---> 1 
 whom  ---> 1 
 courteous  ---> 1 
 our  ---> 1 
 entreated.  ---> 1 
 guest;  ---> 1 
 became  ---> 1 
 better  ---> 1 
 be  ---> 1 
 should  ---> 1 
 replied  ---> 1 
 supper.  ---> 1 
 invited  ---> 1 
